Customer,State,Customer Lifetime Value,Response,Coverage,Education,Effective To Date,Employment Status,Health Status (Employment-Based),Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
QP80741,Washington,6048.57,No,Basic,College,01-01-11,Unemployed,Healthy,F,0,Suburban,Married,61,17,71,3,2,Corporate Auto,Corporate L1,Offer3,Agent,292.8,Four-Door Car,Midsize
ST78006,Oregon,4594.26,No,Basic,High School Or Below,01-01-11,Unemployed,Healthy,F,0,Rural,Married,63,11,10,1,3,Personal Auto,Personal L2,Offer4,Call Center,139.33,Four-Door Car,Midsize
TH68362,California,2374.81,No,Basic,College,01-01-11,Unemployed,Healthy,F,0,Suburban,Married,64,2,52,0,1,Corporate Auto,Corporate L3,Offer3,Agent,380.82,Four-Door Car,Midsize
QZ42725,Washington,2310.88,No,Basic,Bachelor,01-01-11,Unemployed,Healthy,F,0,Suburban,Single,64,12,24,0,1,Personal Auto,Personal L3,Offer2,Agent,460.8,Four-Door Car,Midsize
CS30775,California,4191.06,No,Basic,High School Or Below,01-01-11,Unemployed,Healthy,M,0,Suburban,Single,64,3,53,1,7,Personal Auto,Personal L3,Offer4,Web,535.95,Two-Door Car,Small
YJ16399,California,11228.29,No,Basic,High School Or Below,01-01-11,Unemployed,Healthy,M,0,Suburban,Single,64,1,63,0,2,Corporate Auto,Corporate L3,Offer3,Branch,772.84,Four-Door Car,Midsize
EV78251,Oregon,7163.54,No,Basic,Doctor,01-01-11,Unemployed,Healthy,F,0,Suburban,Single,66,8,11,0,2,Personal Auto,Personal L3,Offer4,Branch,316.8,Two-Door Car,Small
GJ44951,Washington,4698.76,No,Basic,Bachelor,01-01-11,Unemployed,Healthy,F,0,Suburban,Single,67,27,71,0,6,Personal Auto,Personal L2,Offer1,Agent,321.6,Two-Door Car,Midsize
EC66666,Arizona,7296.49,No,Basic,College,01-01-11,Unemployed,Healthy,F,0,Suburban,Divorced,67,29,88,0,2,Personal Auto,Personal L1,Offer1,Web,321.6,Two-Door Car,Midsize
YQ50209,Arizona,4847.24,No,Basic,High School Or Below,01-01-11,Unemployed,Healthy,M,0,Suburban,Single,69,0,32,0,7,Corporate Auto,Corporate L1,Offer2,Agent,599.15,Four-Door Car,Small
HP55391,Oregon,5426.14,No,Basic,Master,01-01-11,Unemployed,Healthy,M,0,Suburban,Married,71,33,83,0,3,Corporate Auto,Corporate L3,Offer1,Agent,408,Four-Door Car,Midsize
CO25601,Washington,4112.63,No,Basic,High School Or Below,01-01-11,Unemployed,Healthy,M,0,Suburban,Single,71,16,90,3,9,Personal Auto,Personal L2,Offer1,Agent,569.76,Four-Door Car,Midsize
HO40387,California,2570.76,No,Basic,Master,01-01-11,Unemployed,Healthy,M,0,Suburban,Married,72,0,93,3,1,Personal Auto,Personal L3,Offer4,Call Center,345.6,Two-Door Car,Small
WP41146,California,5341.44,No,Basic,High School Or Below,01-01-11,Unemployed,Healthy,F,0,Suburban,Married,72,4,11,1,7,Personal Auto,Personal L2,Offer1,Branch,345.6,Four-Door Car,Midsize
UK29448,Oregon,2467.46,No,Basic,Bachelor,01-01-11,Unemployed,Healthy,M,0,Suburban,Single,73,29,14,0,1,Personal Auto,Personal L2,Offer1,Agent,525.6,Two-Door Car,Midsize
